loop,date_a,date_b,date_c,pair_ab,pair_bc,pair_ac,valid_pixel_count,valid_ratio,used_for_scoring,loop_rms_rad,loop_median_abs_rad,loop_bad_pixel_ratio,is_bad_loop,bad_reason
20240106_20240118_20240130,20240106,20240118,20240130,20240106_20240118,20240118_20240130,20240106_20240130,397369,0.8902313348238889,True,3.014622858344093,0.08621048927307129,0.16129592393971345,True,high_bad_pixel_ratio;high_loop_rms
20240106_20240118_20240211,20240106,20240118,20240211,20240106_20240118,20240118_20240211,20240106_20240211,382382,0.8566557488697616,True,2.06675155662153,1.5471868515014648,0.030953339853863414,False,
20240106_20240130_20240211,20240106,20240130,20240211,20240106_20240130,20240130_20240211,20240106_20240211,385168,0.8628972636804775,True,2.305847897698756,1.427488088607788,0.14311417355543554,False,
20240118_20240130_20240211,20240118,20240130,20240211,20240118_20240130,20240130_20240211,20240118_20240211,388558,0.8704919281486493,True,4.506312720800952,3.0326695442199707,0.27743348483366703,True,high_bad_pixel_ratio;high_loop_rms
20240130_20240211_20240223,20240130,20240211,20240223,20240130_20240211,20240211_20240223,20240130_20240223,374389,0.8387489190484938,True,3.5747137249801044,0.5128684043884277,0.17172245979449183,True,high_bad_pixel_ratio;high_loop_rms
