,epoch,daz,cc_azi,cc_range,daz_iono,daz_SET,drg_iono_mm,dTECS,drg_SET_mm
0,2018-12-27,-0.019481,0.01795,-0.01082,,-0.0005886894789991782,-56.102827805391684,-4.066145354898955e+16,85.64650672595619
1,2019-01-02,-0.000827285,-0.00156,-0.09045,,0.0006394716588113362,-85.83119641843277,-6.220758102119942e+16,-11.702948339900953
2,2019-01-08,-0.0166857,0.015,0.01792,,-0.00020047211251177034,-43.48455879841895,-3.1516154119958496e+16,-73.60743217281714
3,2019-01-14,-7.58443e-06,-0.00037,-0.01656,,0.0005523411070891603,2.5752946297215504,1866487431339808.0,112.64675369428674
4,2019-01-20,-0.0160758,0.00857,0.08902,,0.0004704246076540007,-27.622544900138895,-2.001989686255949e+16,-130.0377948287499
5,2019-01-26,0.000774127,0.00272,-0.02768,,0.0006816841718702793,29.667485885788093,2.1502001707378176e+16,110.58463020843729
6,2019-02-01,-0.0180115,0.01477,0.12357,,0.0008706733357766526,91.04495336026275,6.598633770778426e+16,-40.10182810894592
7,2019-02-19,-0.000482579,0.00332,0.04239,,0.00012430491047510218,-22.78986489906521,-1.651733199965424e+16,-144.03079553289987
8,2019-02-25,-0.0157511,0.02264,0.09015,,0.001820036880325787,99.41184392153797,7.205038020287709e+16,97.22226677614897
9,2019-03-03,-0.000453136,-0.00189,0.07129,,0.0006644050657208035,93.43782797038934,6.772061320893587e+16,-55.696740019974285
10,2019-03-09,-0.0176536,0.01871,0.08227,,0.0005112338517924762,66.86666900428231,4.846272571365805e+16,-56.807873116723734
11,2019-03-15,-0.000915894,0.00514,0.02288,,0.0022984769263307385,128.26909550127553,9.296515117897107e+16,90.11511103219188
12,2019-03-21,-0.0176162,0.01867,0.15639,,-2.626032623290401e-05,127.78383580402657,9.261345117719347e+16,-137.6660975298647
13,2019-03-27,-0.00152753,-0.004,-0.04819,,0.002221413801849125,60.00089474044636,4.348664211453536e+16,76.8948204544589
14,2019-04-02,-0.0213631,0.01752,0.10645,,0.0001757570986895426,91.21596523415919,6.611028139545158e+16,-60.11990223653925
15,2019-04-08,-0.00132087,0.00327,0.08325,,0.0010782045226798108,173.770736748186,1.2594321920758886e+17,-51.5876949516089
16,2019-04-14,-0.0223933,0.02584,0.1057,,0.0018038839463476242,149.461233243272,1.0832450396220397e+17,75.94276308398271
17,2019-04-20,-0.00409044,0.00999,0.12388,,0.00010636397223660828,120.324462819655,8.720714707500589e+16,-122.2066710581567
18,2019-04-26,-0.0203415,0.02719,0.09168,,0.0020215661740195026,142.23980390399345,1.0309065345728938e+17,72.82105246355286
19,2019-05-02,0.00350761,0.00066,0.04394,,-0.0005508128904083135,32.166992340929795,2.3313560404092864e+16,-59.65506235923966
20,2019-05-08,-0.0206042,0.02403,0.12129,,0.0017625101954149422,14.687787950487321,1.0645217555838656e+16,-30.719126061493082
21,2019-05-14,-0.000901779,0.00861,0.03125,,0.00029642646000426875,134.87586930485054,9.775351990531411e+16,63.25362185116884
22,2019-05-20,-0.0221642,0.02184,0.0694,,0.0004188181992640518,66.0515328483718,4.787194228551021e+16,-103.5780009667212
23,2019-05-26,-0.00211304,0.00354,-0.04334,,0.001445524465189631,11.771304332766423,8531447755148672.0,85.60198175031145
24,2019-06-01,-0.0196005,0.01902,0.06978,,-0.0013220693428103688,7.315247749871441,5301846951681856.0,-66.01926466811291
25,2019-06-13,-0.0198768,0.02281,0.01941,,-0.0013204003951794718,1.5650559838289626,1134300242561280.0,35.851025085885944
26,2019-06-19,-0.00335849,0.01237,0.04655,,0.0007512347213720505,12.817517658701759,9289708189050816.0,-83.51112008327587
27,2019-06-25,-0.0213144,0.0288,0.01368,,0.000540457897693321,6.46345064101464,4684492890758464.0,103.09743984394036
28,2019-07-01,-0.000393518,-0.00047,0.02355,,-0.001711902867169713,44.92500624737198,3.2560142263275136e+16,-88.98881431632181
29,2019-07-07,-0.0232176,0.02749,0.01567,,0.0017873877503614718,-22.31979798743572,-1.6176643220856128e+16,82.99516507590599
30,2019-07-13,-0.0028252,-0.00083,-0.05926,,-0.0020918374930666748,-33.861007604294,-2.45413260201416e+16,-4.799764458205493
31,2019-07-19,-0.0194129,0.01922,0.03559,,0.0008420408976888051,-27.772000999608412,-2.0128217645734144e+16,-65.56430150549896
32,2021-03-16,0.00604316,0.00114,0.14906,,0.0007312799723041228,138.2186197182329,1.0017623362539776e+17,-51.02828367765559
33,2021-03-22,0.0128758,0.03044,0.2128,,0.002236758551248682,315.2310271167051,2.284689073208238e+17,60.765646137037315
34,2021-03-28,0.00574656,0.0,0.17534,,-0.00016090046570229797,303.99588167762585,2.203260496029931e+17,-135.92944173409856
35,2021-04-09,0.00475763,0.0029,0.18513,,2.397505482395266e-05,272.39957071074804,1.9742609997557587e+17,-68.76875571538935
36,2021-04-15,0.00924234,0.02809,0.19953,,0.0010943818880460399,213.20904909886585,1.5452678920624045e+17,-53.147887510646584
37,2021-04-21,0.00780735,0.00689,0.11823,,0.0019404442273661753,206.43684357541957,1.496185211012706e+17,68.51081124673944
38,2021-04-27,0.00730326,0.02302,0.24561,,-0.0003963019330870333,243.8733107661353,1.767512206684619e+17,-141.49238413748884
39,2021-05-03,0.0180586,0.01706,0.07165,,0.002533992891934639,245.39515218593863,1.7785420044008608e+17,86.53651996264215
40,2021-05-09,0.00956129,0.03033,0.12579,,-0.000797463355601645,158.341397586057,1.1476055013057277e+17,-66.31585476787077
41,2021-05-15,0.0120244,0.01052,0.1362,,0.001428574564285419,175.13881335954636,1.2693475538785504e+17,-44.76890362223077
42,2021-05-21,0.00793169,0.02769,0.10828,,0.0007760263177415842,166.4780946451547,1.2065775607281773e+17,92.41526495005655
43,2021-05-27,0.00650145,0.0069,0.09478,,7.94961124252251e-05,28.34506913551164,2.054355826758771e+16,-133.08330501930016
44,2021-06-08,0.0010602,0.00225,0.04356,,-0.001365219255943387,70.72079805193418,5.125606956767046e+16,-69.02732600282832
45,2021-06-14,0.00685905,0.02652,0.12559,,0.001754920178715469,48.41055742513824,3.508635320221373e+16,-18.161324227909432
46,2021-06-20,-0.00125924,-0.00076,-0.00549,,-0.0011825180701826115,32.93722863888154,2.3871801916616064e+16,95.89068352080545
47,2021-06-26,0.0107924,0.03174,0.17218,,0.0009342935010159367,137.69092372191815,9.979377721310125e+16,-102.3483877004142
